#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2010 02 16 22 50 307  6.7  8.1 99.00 99.00 99.00 999 1014.5  14.8  13.8 999.0 99.0 99.00
2010 02 16 23 50 319  7.0  8.5  2.45 13.79  8.04 282 1014.5  14.5  13.8 999.0 99.0 99.00
2010 02 17 00 50 320  6.6  7.8  2.64 12.90  8.13 284 1014.4  14.4  13.7 999.0 99.0 99.00
2010 02 17 01 50 327  6.5  7.5  2.58 12.90  7.84 302 1014.3  14.2  13.7 999.0 99.0 99.00
2010 02 17 02 50 327  5.2  6.5  2.46 13.79  7.68 285 1014.6  14.2  13.7 999.0 99.0 99.00
2010 02 17 03 50 320  4.1  5.4  2.56 13.79  8.21 286 1014.7  14.6  13.6 999.0 99.0 99.00
2010 02 17 04 50  13  2.0  2.5  2.42 12.90  8.34 287 1015.0  14.3  13.6 999.0 99.0 99.00
2010 02 17 05 50  32  1.8  2.4  2.55 12.90  8.34 273 1015.2  13.7  13.6 999.0 99.0 99.00
2010 02 17 06 50 326  1.9  2.8  2.20 12.90  8.13 293 1015.2  13.6  13.6 999.0 99.0 99.00
2010 02 17 07 50   2  2.1  2.7  2.52 12.90  8.77 291 1015.2  14.3  13.6 999.0 99.0 99.00
2010 02 17 08 50  27  3.9  4.6  2.40 12.12  8.71 293 1014.9  15.3  13.6 999.0 99.0 99.00
2010 02 17 09 50   1  1.1  1.7  2.27 12.90  8.49 288 1014.9  14.2  13.6 999.0 99.0 99.00
2010 02 17 10 50 341  4.2  5.1  2.35 11.43  8.48 295 1014.6  14.5  13.6 999.0 99.0 99.00
2010 02 17 11 50  14  2.4  3.2  2.49 12.90  8.94 284 1014.7  14.2  13.5 999.0 99.0 99.00
2010 02 17 12 50 354  0.6  1.2  2.19 13.79  8.58 285 1014.8  14.0  13.5 999.0 99.0 99.00
2010 02 17 13 50 352  4.0  5.2  2.39 11.43  8.43 288 1014.7  14.2  13.5 999.0 99.0 99.00
2010 02 17 14 50 355  2.6  3.5  2.41 12.90  8.00 292 1014.9  13.9  13.5 999.0 99.0 99.00
2010 02 17 15 50  18  1.2  2.0  2.39 12.90  7.83 290 1015.4  13.4  13.5 999.0 99.0 99.00
2010 02 17 16 50  59  0.4  1.1  2.26 12.90  7.79 279 1015.5  13.8  13.5 999.0 99.0 99.00
2010 02 17 17 50 325  2.9  3.7  2.21 12.90  7.86 277 1015.9  12.9  13.6 999.0 99.0 99.00
2010 02 17 18 50 315  3.3  4.1  2.27 13.79  8.27 280 1015.8  12.4  13.7 999.0 99.0 99.00
2010 02 17 19 50 311  3.5  4.2  2.12 12.90  7.85 282 1015.1  12.3  13.7 999.0 99.0 99.00
2010 02 17 20 50 310  4.1  4.9  2.04 12.90  7.82 279 1014.6  12.2  13.8 999.0 99.0 99.00
2010 02 17 21 50 310  4.0  5.3  2.10 12.90  8.42 288 1014.0  11.9  13.8 999.0 99.0 99.00
2010 02 17 22 50 299  4.2  5.0  2.07 12.90  8.28 290 1013.9  11.8  13.8 999.0 99.0 99.00
2010 02 17 23 50 316  3.6  5.1  2.10 12.90  8.01 295 1013.9  11.6  13.8 999.0 99.0 99.00
2010 02 18 00 50 311  3.3  4.7  2.26 12.90  8.66 301 1013.6  11.4  13.8 999.0 99.0 99.00
2010 02 18 01 50 326  3.5  4.6  2.32 12.12  8.74 300 1014.0  11.2  13.8 999.0 99.0 99.00
2010 02 18 02 50 339  1.5  2.8  2.20 12.12  8.51 294 1014.1  11.2  13.7 999.0 99.0 99.00
2010 02 18 03 50 340  1.7  3.7  2.58 12.12  9.35 293 1014.3  11.1  13.7 999.0 99.0 99.00
2010 02 18 04 50 314  2.5  4.2  2.23 11.43  8.81 293 1014.3  11.1  13.7 999.0 99.0 99.00
2010 02 18 05 50 298  2.2  3.6  2.24 11.43  9.00 294 1014.3  11.1  13.7 999.0 99.0 99.00
2010 02 18 06 50 305  3.4  4.6  2.08 12.90  8.96 292 1014.2  11.2  13.7 999.0 99.0 99.00
2010 02 18 07 50 335  2.7  4.3  2.01 11.43  8.78 295 1014.1  11.1  13.7 999.0 99.0 99.00
2010 02 18 08 50 358  2.0  3.6  2.35 11.43  9.38 304 1013.7  11.0  13.6 999.0 99.0 99.00
2010 02 18 09 50 357  1.2  2.8  1.89 12.12  8.90 292 1013.6  11.1  13.6 999.0 99.0 99.00
2010 02 18 10 50   2  2.8  4.1  2.10 12.12  9.10 285 1013.1  11.0  13.6 999.0 99.0 99.00
2010 02 18 11 50 344  2.6  4.2  2.04 12.90  9.01 285 1013.0  10.8  13.6 999.0 99.0 99.00
2010 02 18 12 50 349  2.4  4.2  1.93 12.90  8.82 292 1013.5  10.8  13.6 999.0 99.0 99.00
2010 02 18 13 50 327  1.0  2.5  1.71 12.12  8.06 308 1014.0  10.9  13.6 999.0 99.0 99.00
2010 02 18 14 50 320  1.9  3.7  1.65 10.00  7.95 292 1014.8  11.3  13.5 999.0 99.0 99.00
2010 02 18 15 50  34  1.6  2.6  1.66 12.12  8.32 288 1014.7  11.3  13.5 999.0 99.0 99.00
2010 02 18 16 50  41  1.2  2.3  1.51 12.12  7.78 286 1014.9  11.3  13.5 999.0 99.0 99.00
2010 02 18 17 50 183  1.3  2.2  1.57 11.43  8.60 295 1014.9  11.3  13.5 999.0 99.0 99.00
2010 02 18 18 50 149  1.5  2.4  1.52 11.43  8.67 302 1014.9  11.5  13.5 999.0 99.0 99.00
2010 02 18 19 50 268  1.9  2.7  1.45 11.43  8.39 292 1014.9  11.6  13.6 999.0 99.0 99.00
2010 02 18 20 50 262  2.6  4.6  1.56 10.81  8.99 297 1014.2  11.9  13.6 999.0 99.0 99.00
2010 02 18 21 50 272  1.8  2.7  1.71 11.43  9.34 282 1013.7  11.7  13.6 999.0 99.0 99.00
2010 02 18 22 50 246  2.0  2.8  1.66 11.43  9.17 283 1013.5  11.9  13.6 999.0 99.0 99.00
2010 02 18 23 50 296  1.0  1.8  1.43 12.90  8.73 274 1013.3  11.9  13.6 999.0 99.0 99.00
2010 02 19 00 50 327  0.3  0.9  1.58 10.81  8.83 290 1013.2  12.0  13.6 999.0 99.0 99.00
2010 02 19 01 50 291  1.0  2.2  1.61 10.81  8.76 294 1013.5  12.3  13.6 999.0 99.0 99.00
2010 02 19 02 50 325  1.0  1.5  1.61 10.81  8.86 287 1013.7  12.3  13.6 999.0 99.0 99.00
2010 02 19 03 50 300  1.7  2.4  1.56 10.00  8.47 294 1013.7  12.5  13.5 999.0 99.0 99.00
2010 02 19 04 50 185  0.1  0.6  1.56 10.00  8.82 299 1013.9  12.7  13.5 999.0 99.0 99.00
2010 02 19 05 50 316  1.3  2.7  1.41 14.81  8.58 293 1013.7  12.7  13.5 999.0 99.0 99.00
