#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2010 12 31 23 50 323  5.1  6.1  1.87 11.43  7.78 306 1018.3  10.9  12.3 999.0 99.0 99.00
2011 01 01 00 50 328  4.7  5.6  1.98 11.43  8.24 314 1018.1  10.8  12.2 999.0 99.0 99.00
2011 01 01 01 50 324  5.0  5.9  1.73 10.81  7.40 317 1018.0  10.9  12.1 999.0 99.0 99.00
2011 01 01 02 50 345  3.9  4.6  1.78 10.00  7.75 313 1018.5  11.0  12.0 999.0 99.0 99.00
2011 01 01 03 50 350  2.2  3.0  1.88 11.43  7.91 332 1018.6  11.0  12.0 999.0 99.0 99.00
2011 01 01 04 50 340  3.0  4.2  1.72 11.43  7.85 332 1019.3  11.1  12.1 999.0 99.0 99.00
2011 01 01 05 50   6  1.6  2.2  1.94 10.81  8.21 334 1019.5  11.0  12.0 999.0 99.0 99.00
2011 01 01 06 50  52  1.0  1.4  1.89 11.43  7.97 325 1020.4  11.0  12.0 999.0 99.0 99.00
2011 01 01 07 50 135  5.1  6.5  2.09 11.43  8.38 316 1020.3  10.7  12.0 999.0 99.0 99.00
2011 01 01 08 50 142  5.0  6.3  2.10 12.12  8.30 324 1020.1  11.0  12.0 999.0 99.0 99.00
2011 01 01 09 50 133  4.8  5.8  1.91 12.12  8.19 315 1020.3  10.7  12.0 999.0 99.0 99.00
2011 01 01 10 50 131  5.0  6.1  1.90 11.43  8.05 321 1020.2  10.2  12.0 999.0 99.0 99.00
2011 01 01 11 50 140  6.3  7.7  1.68 10.81  7.58 309 1019.9  10.6  12.0 999.0 99.0 99.00
2011 01 01 12 50 143  6.5  7.7 99.00 99.00 99.00 999 1019.7  10.8  12.0 999.0 99.0 99.00
2011 01 01 13 50 156  8.8 12.0 99.00 99.00 99.00 999 1020.3  11.5  12.0 999.0 99.0 99.00
2011 01 01 14 50 156  9.6 11.7  1.73 12.12  5.85 321 1020.7  11.7  12.0 999.0 99.0 99.00
2011 01 01 15 50 151 11.1 13.4  1.63 10.81  5.28 315 1021.1  11.6  12.0 999.0 99.0 99.00
2011 01 01 16 50 149 11.1 13.5  1.58 12.12  5.21 316 1021.9  11.7  11.9 999.0 99.0 99.00
2011 01 01 17 50 146 11.9 14.1 99.00 99.00 99.00 999 1021.9  11.8  12.0 999.0 99.0 99.00
2011 01 01 18 50 151 12.2 15.1  1.57 11.43  4.93 284 1022.0  11.9  12.0 999.0 99.0 99.00
2011 01 01 19 50 154 11.4 14.5  1.66 10.81  5.08 293 1021.5  11.7  12.0 999.0 99.0 99.00
2011 01 01 20 50 150 12.5 15.3  1.66 11.43  5.22 317 1020.4  11.7  12.2 999.0 99.0 99.00
2011 01 01 21 50 148 12.7 15.6  1.74  5.56  5.10 169 1020.0  12.0  12.4 999.0 99.0 99.00
2011 01 01 22 50 151 12.2 14.8  1.82  5.88  5.14 167 1019.8  11.9  12.3 999.0 99.0 99.00
2011 01 01 23 50 153 11.0 13.3  1.91  5.56  5.11 173 1020.1  12.1  12.2 999.0 99.0 99.00
2011 01 02 00 50 155 12.0 14.5 99.00 99.00 99.00 999 1020.0  12.0  12.1 999.0 99.0 99.00
